# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	4	1398	+	LIHGCB_00001	-	-	-	-	-	-
contig_1	cds	1642	2757	+	LIHGCB_00002	718.0	9.9e-263	1.0	1.0	0.992	UniRef:UniRef50_O83048
contig_1	cds	2846	3835	+	LIHGCB_00003	-	-	-	-	-	-
contig_1	cds	3828	4265	+	LIHGCB_00004	-	-	-	-	-	-
contig_1	cds	4392	6833	+	LIHGCB_00005	875.0	2.7e-309	1.026	0.953	0.595	UniRef:UniRef50_O83051
contig_1	cds	6833	7018	+	LIHGCB_00006	-	-	-	-	-	-
contig_1	cds	7162	8262	+	LIHGCB_00007	723.0	7.1e-264	1.0	0.855	0.981	UniRef:UniRef50_Q01305
contig_1	cds	8342	10138	-	LIHGCB_00008	1129.0	0.0	1.0	0.984	0.941	UniRef:UniRef50_F7XRK5
contig_1	cds	10443	12425	+	LIHGCB_00009	1316.0	0.0	1.0	1.0	0.995	UniRef:UniRef50_F7XRK7
contig_1	cds	12591	13823	+	LIHGCB_00010	-	-	-	-	-	-
contig_1	cds	14014	15828	+	LIHGCB_00011	-	-	-	-	-	-
contig_1	cds	15806	18364	+	LIHGCB_00012	1681.0	0.0	1.0	0.994	1.0	UniRef:UniRef50_F7XRL0
contig_1	cds	18489	19436	+	LIHGCB_00013	422.0	8.8e-148	1.0	1.0	0.635	UniRef:UniRef50_O83061
contig_1	cds	19453	22134	+	LIHGCB_00014	1082.0	0.0	1.011	0.996	0.590	UniRef:UniRef50_S5ZYJ4
contig_1	cds	22149	24257	+	LIHGCB_00015	1354.0	0.0	1.0	0.993	1.0	UniRef:UniRef50_O83064
contig_1	ncRNA	24330	24424	-	LIHGCB_00016	60.1	2.5e-10	-	-	-	RFAM:RF00169
contig_1	tRNA	24426	24513	-	LIHGCB_00017	61.4	-	-	-	-	-
contig_1	tRNA	24570	24658	-	LIHGCB_00018	74.2	-	-	-	-	-
contig_1	tRNA	24716	24789	-	LIHGCB_00019	63.6	-	-	-	-	-
contig_1	tRNA	24821	24907	-	LIHGCB_00020	61.7	-	-	-	-	-
contig_1	tRNA	24948	25032	-	LIHGCB_00021	67.2	-	-	-	-	-
contig_1	cds	25196	27586	+	LIHGCB_00022	1527.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_O83065
contig_1	cds	27647	28978	+	LIHGCB_00023	868.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_S3MDE5
contig_1	cds	29158	29868	+	LIHGCB_00024	-	-	-	-	-	-
contig_1	cds	29947	33018	-	LIHGCB_00025	2024.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_O83069
contig_1	cds	33047	34069	-	LIHGCB_00026	-	-	-	-	-	-
contig_1	cds	34190	35515	+	LIHGCB_00027	846.0	8.2e-311	1.0	0.961	0.995	UniRef:UniRef50_O83071
contig_1	cds	35529	36890	+	LIHGCB_00028	889.0	0.0	0.998	0.958	1.0	UniRef:UniRef50_O83072
contig_1	cds	36999	38276	+	LIHGCB_00029	439.0	2.0e-150	1.002	0.918	0.549	UniRef:UniRef50_Q73Q03
contig_1	cds	38395	40029	+	LIHGCB_00030	628.0	8.6e-220	0.983	0.805	0.621	UniRef:UniRef50_O66200
contig_1	cds	40344	41168	-	LIHGCB_00031	-	-	-	-	-	-
contig_1	cds	41165	41776	-	LIHGCB_00032	183.0	1.7e-56	0.956	0.858	0.500	UniRef:UniRef50_S6A470
contig_1	cds	41877	42833	-	LIHGCB_00033	-	-	-	-	-	-
contig_1	cds	43031	43747	+	LIHGCB_00034	219.0	6.0e-70	0.912	0.897	0.507	UniRef:UniRef50_A0A0P8YVX4
contig_1	cds	43747	44547	+	LIHGCB_00035	-	-	-	-	-	-
contig_1	cds	44656	45651	-	LIHGCB_00036	-	-	-	-	-	-
contig_1	cds	45748	46800	-	LIHGCB_00037	339.0	1.7e-113	0.966	0.892	0.562	UniRef:UniRef50_F7XRN0
contig_1	cds	47061	49478	+	LIHGCB_00038	1445.0	0.0	0.993	0.974	0.965	UniRef:UniRef50_F7XRN2
contig_1	cds	49599	50531	+	LIHGCB_00039	-	-	-	-	-	-
contig_1	cds	50635	52644	+	LIHGCB_00040	1327.0	0.0	1.0	0.942	0.999	UniRef:UniRef50_O83083
contig_1	cds	52684	54576	+	LIHGCB_00041	-	-	-	-	-	-
contig_1	cds	54632	55531	-	LIHGCB_00042	361.0	1.3e-123	0.990	0.916	0.591	UniRef:UniRef50_O83085
contig_1	cds	55893	56594	-	LIHGCB_00043	-	-	-	-	-	-
contig_1	cds	56612	57133	-	LIHGCB_00044	-	-	-	-	-	-
contig_1	cds	57139	57570	-	LIHGCB_00045	-	-	-	-	-	-
contig_1	cds	57592	58683	-	LIHGCB_00046	711.0	2.1e-260	1.0	1.0	1.0	UniRef:UniRef50_M2BV55
