#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	4	1398	+	OBIBPL_00001	52.9	7.0	PF00004.35|AAA, PF00308.24|Bac_DnaA, PF00910.28|RNA_helicase, PF01695.23|IstB_IS21, PF08299.17|Bac_DnaA_C, PF11638.13|DnaA_N	PFAM:PF00004.35, PFAM:PF00308.24, PFAM:PF00910.28, PFAM:PF01695.23, PFAM:PF08299.17, PFAM:PF11638.13
contig_1	2846	3835	+	OBIBPL_00003	38.6	9.4		
contig_1	3828	4265	+	OBIBPL_00004	16.3	7.0		
contig_1	6833	7018	+	OBIBPL_00006	6.5	7.6		
contig_1	12590	13822	+	OBIBPL_00010	45.1	6.1		
contig_1	14013	15827	+	OBIBPL_00011	67.2	5.9	PF03484.21|B5, PF17759.6|tRNA_synthFbeta	PFAM:PF03484.21, PFAM:PF17759.6
contig_1	29157	29867	+	OBIBPL_00024	26.7	5.9	PF02080.26|TrkA_C, PF02254.24|TrkA_N	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	33046	34068	-	OBIBPL_00026	37.6	9.3	PF01706.21|FliG_C	PFAM:PF01706.21
contig_1	40343	41167	-	OBIBPL_00031	30.4	9.8	PF04452.19|Methyltrans_RNA, PF20260.4|PUA_4	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	41876	42832	-	OBIBPL_00033	35.6	9.4		
contig_1	43746	44546	+	OBIBPL_00035	28.3	7.0		
contig_1	44655	45650	-	OBIBPL_00036	36.8	6.3	PF00389.36|2-Hacid_dh, PF02826.25|2-Hacid_dh_C	PFAM:PF00389.36, PFAM:PF02826.25
contig_1	49597	50529	+	OBIBPL_00039	33.3	5.2	PF01476.26|LysM	PFAM:PF01476.26
contig_1	52682	54574	+	OBIBPL_00041	70.1	9.0	PF13932.14|SAM_GIDA_C	PFAM:PF13932.14
contig_1	55891	56592	-	OBIBPL_00043	26.9	8.5		
contig_1	56610	57131	-	OBIBPL_00044	19.6	9.3		
contig_1	57137	57568	-	OBIBPL_00045	15.1	9.6	PF04519.19|Bactofilin	PFAM:PF04519.19
contig_1	58912	59520	-	OBIBPL_00047	23.2	7.8	PF00156.33|Pribosyltran	PFAM:PF00156.33
contig_1	60697	61764	+	OBIBPL_00049	39.0	9.5	PF17827.6|PrmC_N	PFAM:PF17827.6
contig_1	63060	64019	+	OBIBPL_00051	35.5	9.7	PF08032.17|SpoU_sub_bind	PFAM:PF08032.17
contig_1	64226	64462	+	OBIBPL_00052	8.0	6.5		
contig_1	69269	69739	-	OBIBPL_00056	17.5	9.0	PF01281.25|Ribosomal_L9_N, PF03948.19|Ribosomal_L9_C	PFAM:PF01281.25, PFAM:PF03948.19
contig_1	70800	71081	-	OBIBPL_00059	10.9	8.0	PF01250.22|Ribosomal_S6	PFAM:PF01250.22
contig_1	71364	71798	+	OBIBPL_00060	16.8	5.3		
contig_1	74108	75130	+	OBIBPL_00064	37.5	8.9	PF04055.27|Radical_SAM, PF21016.3|RlmN_N	PFAM:PF04055.27, PFAM:PF21016.3
contig_1	75186	75569	-	OBIBPL_00065	14.1	10.1		
