# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	4	1398	+	OBIBPL_00001	-	-	-	-	-	-
contig_1	cds	1642	2757	+	OBIBPL_00002	718.0	9.9e-263	1.0	1.0	0.992	UniRef:UniRef50_O83048
contig_1	cds	2846	3835	+	OBIBPL_00003	-	-	-	-	-	-
contig_1	cds	3828	4265	+	OBIBPL_00004	-	-	-	-	-	-
contig_1	cds	4392	6833	+	OBIBPL_00005	875.0	2.7e-309	1.026	0.953	0.595	UniRef:UniRef50_O83051
contig_1	cds	6833	7018	+	OBIBPL_00006	-	-	-	-	-	-
contig_1	cds	7162	8262	+	OBIBPL_00007	723.0	7.1e-264	1.0	0.855	0.981	UniRef:UniRef50_Q01305
contig_1	cds	8342	10081	-	OBIBPL_00008	1095.0	0.0	1.0	0.952	0.938	UniRef:UniRef50_F7XRK5
contig_1	cds	10443	12425	+	OBIBPL_00009	1316.0	0.0	1.0	1.0	0.995	UniRef:UniRef50_F7XRK7
contig_1	cds	12590	13822	+	OBIBPL_00010	-	-	-	-	-	-
contig_1	cds	14013	15827	+	OBIBPL_00011	-	-	-	-	-	-
contig_1	cds	15805	18363	+	OBIBPL_00012	1681.0	0.0	1.0	0.994	1.0	UniRef:UniRef50_F7XRL0
contig_1	cds	18488	19435	+	OBIBPL_00013	422.0	8.8e-148	1.0	1.0	0.635	UniRef:UniRef50_O83061
contig_1	cds	19452	22133	+	OBIBPL_00014	1082.0	0.0	1.011	0.996	0.590	UniRef:UniRef50_S5ZYJ4
contig_1	cds	22148	24256	+	OBIBPL_00015	1351.0	0.0	1.0	0.993	0.999	UniRef:UniRef50_O83064
contig_1	ncRNA	24329	24423	-	OBIBPL_00016	60.1	2.5e-10	-	-	-	RFAM:RF00169
contig_1	tRNA	24425	24512	-	OBIBPL_00017	61.4	-	-	-	-	-
contig_1	tRNA	24569	24657	-	OBIBPL_00018	74.2	-	-	-	-	-
contig_1	tRNA	24715	24788	-	OBIBPL_00019	63.6	-	-	-	-	-
contig_1	tRNA	24820	24906	-	OBIBPL_00020	61.7	-	-	-	-	-
contig_1	tRNA	24947	25031	-	OBIBPL_00021	67.2	-	-	-	-	-
contig_1	cds	25195	27585	+	OBIBPL_00022	1527.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_O83065
contig_1	cds	27646	28977	+	OBIBPL_00023	868.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_S3MDE5
contig_1	cds	29157	29867	+	OBIBPL_00024	-	-	-	-	-	-
contig_1	cds	29946	33017	-	OBIBPL_00025	2024.0	0.0	1.0	1.0	1.0	UniRef:UniRef50_O83069
contig_1	cds	33046	34068	-	OBIBPL_00026	-	-	-	-	-	-
contig_1	cds	34189	35514	+	OBIBPL_00027	846.0	8.2e-311	1.0	0.961	0.995	UniRef:UniRef50_O83071
contig_1	cds	35528	36889	+	OBIBPL_00028	889.0	0.0	0.998	0.958	1.0	UniRef:UniRef50_O83072
contig_1	cds	36998	38275	+	OBIBPL_00029	439.0	2.0e-150	1.002	0.918	0.549	UniRef:UniRef50_Q73Q03
contig_1	cds	38394	40028	+	OBIBPL_00030	628.0	8.6e-220	0.983	0.805	0.621	UniRef:UniRef50_O66200
contig_1	cds	40343	41167	-	OBIBPL_00031	-	-	-	-	-	-
contig_1	cds	41164	41775	-	OBIBPL_00032	183.0	1.7e-56	0.956	0.858	0.500	UniRef:UniRef50_S6A470
contig_1	cds	41876	42832	-	OBIBPL_00033	-	-	-	-	-	-
contig_1	cds	43030	43746	+	OBIBPL_00034	219.0	6.0e-70	0.912	0.897	0.507	UniRef:UniRef50_A0A0P8YVX4
contig_1	cds	43746	44546	+	OBIBPL_00035	-	-	-	-	-	-
contig_1	cds	44655	45650	-	OBIBPL_00036	-	-	-	-	-	-
contig_1	cds	45747	46799	-	OBIBPL_00037	339.0	1.7e-113	0.966	0.892	0.562	UniRef:UniRef50_F7XRN0
contig_1	cds	47060	49459	+	OBIBPL_00038	1437.0	0.0	0.964	0.939	0.991	UniRef:UniRef50_F7XRN2
contig_1	cds	49597	50529	+	OBIBPL_00039	-	-	-	-	-	-
contig_1	cds	50633	52642	+	OBIBPL_00040	1327.0	0.0	1.0	0.942	0.999	UniRef:UniRef50_O83083
contig_1	cds	52682	54574	+	OBIBPL_00041	-	-	-	-	-	-
contig_1	cds	54630	55529	-	OBIBPL_00042	361.0	1.3e-123	0.990	0.916	0.591	UniRef:UniRef50_O83085
contig_1	cds	55891	56592	-	OBIBPL_00043	-	-	-	-	-	-
contig_1	cds	56610	57131	-	OBIBPL_00044	-	-	-	-	-	-
contig_1	cds	57137	57568	-	OBIBPL_00045	-	-	-	-	-	-
contig_1	cds	57590	58681	-	OBIBPL_00046	711.0	2.1e-260	1.0	1.0	1.0	UniRef:UniRef50_M2BV55
contig_1	cds	58912	59520	-	OBIBPL_00047	-	-	-	-	-	-
contig_1	cds	59672	60727	+	OBIBPL_00048	358.0	6.2e-121	0.972	0.907	0.531	UniRef:UniRef50_B8IUB4
contig_1	cds	60697	61764	+	OBIBPL_00049	-	-	-	-	-	-
contig_1	cds	61834	62889	-	OBIBPL_00050	526.0	9.0e-187	0.980	0.860	0.727	UniRef:UniRef50_O83092
contig_1	cds	63060	64019	+	OBIBPL_00051	-	-	-	-	-	-
contig_1	cds	64226	64462	+	OBIBPL_00052	-	-	-	-	-	-
contig_1	cds	64459	66240	+	OBIBPL_00053	687.0	1.5e-241	1.015	0.851	0.610	UniRef:UniRef50_E4PIM0
contig_1	cds	66252	67661	+	OBIBPL_00054	560.0	7.4e-197	0.940	0.907	0.687	UniRef:UniRef50_R4YUT1
contig_1	cds	67736	69052	-	OBIBPL_00055	459.0	7.6e-158	0.993	0.944	0.549	UniRef:UniRef50_O83097
contig_1	cds	69269	69739	-	OBIBPL_00056	-	-	-	-	-	-
contig_1	cds	69845	70144	-	OBIBPL_00057	94.7	5.8e-25	0.970	0.990	0.531	UniRef:UniRef50_B5RLI7
contig_1	cds	70261	70791	-	OBIBPL_00058	332.0	1.1e-116	1.0	1.0	1.0	UniRef:UniRef50_O83101
contig_1	cds	70800	71081	-	OBIBPL_00059	-	-	-	-	-	-
contig_1	cds	71364	71798	+	OBIBPL_00060	-	-	-	-	-	-
contig_1	cds	71854	72399	+	OBIBPL_00061	349.0	7.3e-123	0.994	0.882	0.961	UniRef:UniRef50_A0A0B7H1B9
contig_1	cds	72453	72758	+	OBIBPL_00062	109.0	1.1e-30	0.931	0.855	0.521	UniRef:UniRef50_Q73KZ5
contig_1	cds	72779	73927	+	OBIBPL_00063	136.0	3.3e-34	0.969	0.887	0.670	UniRef:UniRef50_M2BGF1
contig_1	cds	74108	75130	+	OBIBPL_00064	-	-	-	-	-	-
contig_1	cds	75186	75569	-	OBIBPL_00065	-	-	-	-	-	-
contig_1	cds	75566	75952	-	OBIBPL_00066	-	-	-	-	-	-
contig_1	cds	76003	78639	-	OBIBPL_00067	1061.0	0.0	1.016	1.0	0.647	UniRef:UniRef50_A0A1L8N1Q2
contig_1	cds	78843	79115	+	OBIBPL_00068	-	-	-	-	-	-
contig_1	cds	79185	80675	-	OBIBPL_00069	949.0	0.0	1.0	0.967	0.994	UniRef:UniRef50_O83112
contig_1	cds	81031	82440	+	OBIBPL_00070	945.0	0.0	1.0	0.961	0.994	UniRef:UniRef50_F7XRR7
contig_1	cds	82570	83448	+	OBIBPL_00071	-	-	-	-	-	-
contig_1	cds	83488	84318	+	OBIBPL_00072	285.0	1.3e-94	0.924	0.921	0.545	UniRef:UniRef50_F7XRR9
contig_1	cds	84465	85967	+	OBIBPL_00073	996.0	0.0	1.0	0.904	0.996	UniRef:UniRef50_F7XRS0
contig_1	cds	85972	87210	+	OBIBPL_00074	833.0	4.6e-307	1.0	1.0	1.0	UniRef:UniRef50_S3KF66
contig_1	cds	87207	89360	+	OBIBPL_00075	-	-	-	-	-	-
contig_1	cds	89357	89824	+	OBIBPL_00076	-	-	-	-	-	-
contig_1	cds	89831	90679	+	OBIBPL_00077	-	-	-	-	-	-
contig_1	cds	90726	92312	-	OBIBPL_00078	994.0	0.0	0.985	0.867	0.988	UniRef:UniRef50_M2BBM0
contig_1	cds	92463	94457	+	OBIBPL_00079	698.0	8.1e-245	1.012	0.950	0.527	UniRef:UniRef50_A0A0B7GS70
contig_1	cds	94537	94770	-	OBIBPL_00080	-	-	-	-	-	-
contig_1	cds	94881	95327	-	OBIBPL_00081	187.0	6.7e-60	0.986	0.834	0.610	UniRef:UniRef50_S3KHH6
contig_1	cds	95444	96352	+	OBIBPL_00082	572.0	3.0e-207	1.0	0.962	1.0	UniRef:UniRef50_O83124
contig_1	cds	96355	96741	-	OBIBPL_00083	-	-	-	-	-	-
contig_1	cds	96878	97492	-	OBIBPL_00084	-	-	-	-	-	-
contig_1	cds	97522	98757	-	OBIBPL_00085	565.0	6.2e-201	0.988	0.962	0.690	UniRef:UniRef50_M2BUH9
contig_1	cds	98840	99904	-	OBIBPL_00086	697.0	3.1e-255	1.0	1.0	0.994	UniRef:UniRef50_O83128
contig_1	cds	100086	101648	+	OBIBPL_00087	1031.0	0.0	1.0	1.0	0.994	UniRef:UniRef50_O83129
contig_1	cds	101668	102207	+	OBIBPL_00088	214.0	2.0e-69	0.978	0.806	0.617	UniRef:UniRef50_O83130
contig_1	cds	102191	102838	+	OBIBPL_00089	-	-	-	-	-	-
contig_1	cds	102976	103986	+	OBIBPL_00090	391.0	4.3e-134	1.003	0.901	0.608	UniRef:UniRef50_Q73RP3
contig_1	cds	103986	105932	+	OBIBPL_00091	1255.0	0.0	1.0	1.0	0.989	UniRef:UniRef50_O83133
contig_1	cds	106006	106368	-	OBIBPL_00092	233.0	3.8e-79	1.0	1.0	1.0	UniRef:UniRef50_O83134
contig_1	cds	106538	106756	+	OBIBPL_00093	86.3	3.3e-22	1.0	0.837	0.500	UniRef:UniRef50_A0A0N1BL88
contig_1	cds	106809	107465	-	OBIBPL_00094	439.0	1.6e-157	1.0	1.0	1.0	UniRef:UniRef50_F7XRB1
contig_1	cds	107469	108224	-	OBIBPL_00095	501.0	8.4e-181	1.0	1.0	1.0	UniRef:UniRef50_F7XRU2
contig_1	cds	108419	109021	+	OBIBPL_00096	-	-	-	-	-	-
