# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	4	1398	+	OBIBPL_00001		hypothetical protein	PFAM:PF00004.35, PFAM:PF00308.24, PFAM:PF00910.28, PFAM:PF01695.23, PFAM:PF08299.17, PFAM:PF11638.13
contig_1	oriC	1399	1641	?			origin of replication	
contig_1	cds	1642	2757	+	OBIBPL_00002		Beta sliding clamp	SO:0001217, UniRef:UniRef50_O83048
contig_1	cds	2846	3835	+	OBIBPL_00003		hypothetical protein	
contig_1	cds	3828	4265	+	OBIBPL_00004		hypothetical protein	
contig_1	cds	4392	6833	+	OBIBPL_00005		DNA gyrase subunit A	SO:0001217, UniRef:UniRef50_O83051
contig_1	cds	6833	7018	+	OBIBPL_00006		hypothetical protein	
contig_1	cds	7162	8262	+	OBIBPL_00007		Protein Tp75	SO:0001217, UniRef:UniRef50_Q01305
contig_1	cds	8342	10081	-	OBIBPL_00008		Tpr protein A	SO:0001217, UniRef:UniRef50_F7XRK5
contig_1	cds	10443	12425	+	OBIBPL_00009		Tpr protein B	SO:0001217, UniRef:UniRef50_F7XRK7
contig_1	cds	12590	13822	+	OBIBPL_00010		hypothetical protein	
contig_1	cds	14013	15827	+	OBIBPL_00011		hypothetical protein	PFAM:PF03484.21, PFAM:PF17759.6
contig_1	cds	15805	18363	+	OBIBPL_00012		endopeptidase La	SO:0001217, UniRef:UniRef50_F7XRL0
contig_1	cds	18488	19435	+	OBIBPL_00013		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_O83061
contig_1	cds	19452	22133	+	OBIBPL_00014	greA	Transcription elongation factor GreA	SO:0001217, UniRef:UniRef50_S5ZYJ4
contig_1	cds	22148	24256	+	OBIBPL_00015		76K protein	SO:0001217, UniRef:UniRef50_O83064
contig_1	ncRNA	24329	24423	-	OBIBPL_00016	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	tRNA	24425	24512	-	OBIBPL_00017	trnS	tRNA-Ser(gga)	SO:0000269
contig_1	tRNA	24569	24657	-	OBIBPL_00018	trnS	tRNA-Ser(cga)	SO:0000269
contig_1	tRNA	24715	24788	-	OBIBPL_00019	trnR	tRNA-Arg(gcg)	SO:0001036
contig_1	tRNA	24820	24906	-	OBIBPL_00020	trnS	tRNA-Ser(gct)	SO:0000269
contig_1	tRNA	24947	25031	-	OBIBPL_00021	trnS	tRNA-Ser(tga)	SO:0000269
contig_1	cds	25195	27585	+	OBIBPL_00022		Uncharacterized protein TP_0021	SO:0001217, UniRef:UniRef50_O83065
contig_1	cds	27646	28977	+	OBIBPL_00023		NSS family neurotransmitter:Na+ symporter	SO:0001217, UniRef:UniRef50_S3MDE5
contig_1	cds	29157	29867	+	OBIBPL_00024		hypothetical protein	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	cds	29946	33017	-	OBIBPL_00025		Peptidase M16C associated domain-containing protein	SO:0001217, UniRef:UniRef50_O83069
contig_1	cds	33046	34068	-	OBIBPL_00026		hypothetical protein	PFAM:PF01706.21
contig_1	cds	34189	35514	+	OBIBPL_00027		Hemolysin, putative	SO:0001217, UniRef:UniRef50_O83071
contig_1	cds	35528	36889	+	OBIBPL_00028		Hemolysin, putative	SO:0001217, UniRef:UniRef50_O83072
contig_1	cds	36998	38275	+	OBIBPL_00029		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	SO:0001217, UniRef:UniRef50_Q73Q03
contig_1	cds	38394	40028	+	OBIBPL_00030		Chaperonin GroEL	SO:0001217, UniRef:UniRef50_O66200
contig_1	cds	40343	41167	-	OBIBPL_00031		hypothetical protein	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	cds	41164	41775	-	OBIBPL_00032		DUF1361 domain-containing protein	SO:0001217, UniRef:UniRef50_S6A470
contig_1	cds	41876	42832	-	OBIBPL_00033		hypothetical protein	
contig_1	cds	43030	43746	+	OBIBPL_00034	znuC	High-affinity zinc uptake system ATP-binding protein ZnuC	SO:0001217, UniRef:UniRef50_A0A0P8YVX4
contig_1	cds	43746	44546	+	OBIBPL_00035		hypothetical protein	
contig_1	cds	44655	45650	-	OBIBPL_00036		hypothetical protein	PFAM:PF00389.36, PFAM:PF02826.25
contig_1	cds	45747	46799	-	OBIBPL_00037	pfoR	putative regulatory protein PfoR	SO:0001217, UniRef:UniRef50_F7XRN0
contig_1	cds	47060	49459	+	OBIBPL_00038		putative methyl-accepting chemotaxis protein	SO:0001217, UniRef:UniRef50_F7XRN2
contig_1	cds	49597	50529	+	OBIBPL_00039		hypothetical protein	PFAM:PF01476.26
contig_1	cds	50633	52642	+	OBIBPL_00040		Soluble lytic transglycosylase, putative	SO:0001217, UniRef:UniRef50_O83083
contig_1	cds	52682	54574	+	OBIBPL_00041		hypothetical protein	PFAM:PF13932.14
contig_1	cds	54630	55529	-	OBIBPL_00042		Putative adenosine/adenine deaminase	SO:0001217, UniRef:UniRef50_O83085
contig_1	cds	55891	56592	-	OBIBPL_00043		hypothetical protein	
contig_1	cds	56610	57131	-	OBIBPL_00044		hypothetical protein	
contig_1	cds	57137	57568	-	OBIBPL_00045		hypothetical protein	PFAM:PF04519.19
contig_1	cds	57590	58681	-	OBIBPL_00046		Peptidase M23 domain-containing protein	SO:0001217, UniRef:UniRef50_M2BV55
contig_1	cds	58912	59520	-	OBIBPL_00047		hypothetical protein	PFAM:PF00156.33
contig_1	cds	59672	60727	+	OBIBPL_00048		Peptide chain release factor 1	SO:0001217, UniRef:UniRef50_B8IUB4
contig_1	cds	60697	61764	+	OBIBPL_00049		hypothetical protein	PFAM:PF17827.6
contig_1	cds	61834	62889	-	OBIBPL_00050		Ribonucleoside-diphosphate reductase subunit beta	SO:0001217, UniRef:UniRef50_O83092
contig_1	cds	63060	64019	+	OBIBPL_00051		hypothetical protein	PFAM:PF08032.17
contig_1	cds	64226	64462	+	OBIBPL_00052		hypothetical protein	
contig_1	cds	64459	66240	+	OBIBPL_00053		Pyruvate carboxylase subunit B	SO:0001217, UniRef:UniRef50_E4PIM0
contig_1	cds	66252	67661	+	OBIBPL_00054		Oxaloacetate decarboxylase beta chain	SO:0001217, UniRef:UniRef50_R4YUT1
contig_1	cds	67736	69052	-	OBIBPL_00055	dnaB	Replicative DNA helicase DnaB	SO:0001217, UniRef:UniRef50_O83097
contig_1	cds	69269	69739	-	OBIBPL_00056		hypothetical protein	PFAM:PF01281.25, PFAM:PF03948.19
contig_1	cds	69845	70144	-	OBIBPL_00057		Small ribosomal subunit protein bS18	SO:0001217, UniRef:UniRef50_B5RLI7
contig_1	cds	70261	70791	-	OBIBPL_00058		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_O83101
contig_1	cds	70800	71081	-	OBIBPL_00059		hypothetical protein	PFAM:PF01250.22
contig_1	cds	71364	71798	+	OBIBPL_00060		hypothetical protein	
contig_1	cds	71854	72399	+	OBIBPL_00061	rsmD	16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD	SO:0001217, UniRef:UniRef50_A0A0B7H1B9
contig_1	cds	72453	72758	+	OBIBPL_00062		TPR domain protein	SO:0001217, UniRef:UniRef50_Q73KZ5
contig_1	cds	72779	73927	+	OBIBPL_00063		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY	SO:0001217, UniRef:UniRef50_M2BGF1
contig_1	cds	74108	75130	+	OBIBPL_00064		hypothetical protein	PFAM:PF04055.27, PFAM:PF21016.3
contig_1	cds	75186	75569	-	OBIBPL_00065		hypothetical protein	
contig_1	cds	75566	75952	-	OBIBPL_00066		hypothetical protein	
contig_1	cds	76003	78639	-	OBIBPL_00067	clpB	Chaperone protein ClpB	SO:0001217, UniRef:UniRef50_A0A1L8N1Q2
contig_1	cds	78843	79115	+	OBIBPL_00068		hypothetical protein	PFAM:PF00462.30
contig_1	cds	79185	80675	-	OBIBPL_00069		Uncharacterized protein TP_0073	SO:0001217, UniRef:UniRef50_O83112
contig_1	cds	81031	82440	+	OBIBPL_00070		Sugar ABC superfamily ATP binding cassette transporter, binding protein	SO:0001217, UniRef:UniRef50_F7XRR7
contig_1	cds	82570	83448	+	OBIBPL_00071		hypothetical protein	
contig_1	cds	83488	84318	+	OBIBPL_00072		Sugar ABC superfamily ATP binding cassette transporter, membrane protein	SO:0001217, UniRef:UniRef50_F7XRR9
contig_1	cds	84465	85967	+	OBIBPL_00073	capD	Capsular polysaccharide biosynthesis protein CapD	SO:0001217, UniRef:UniRef50_F7XRS0
contig_1	cds	85972	87210	+	OBIBPL_00074		UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase	SO:0001217, UniRef:UniRef50_S3KF66
contig_1	cds	87207	89360	+	OBIBPL_00075		hypothetical protein	PFAM:PF02738.23
contig_1	cds	89357	89824	+	OBIBPL_00076		hypothetical protein	PFAM:PF01799.25
contig_1	cds	89831	90679	+	OBIBPL_00077		hypothetical protein	PFAM:PF00941.27
contig_1	cds	90726	92312	-	OBIBPL_00078		Sigma-54 factor interaction domain-containing protein	SO:0001217, UniRef:UniRef50_M2BBM0
contig_1	cds	92463	94457	+	OBIBPL_00079		DUF4015 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0B7GS70
contig_1	cds	94537	94770	-	OBIBPL_00080		hypothetical protein	
