"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"group_1","hypothetical protein","hypothetical protein","2","2","1","1","222","","","","644","1364","1004","LIHGCB_00099","OBIBPL_00100"
"group_10","hypothetical protein","hypothetical protein","2","2","1","1","266","","","","299","479","389","LIHGCB_00147","OBIBPL_00150"
"Putative DD-carboxypeptidase TP_0574","","Putative DD-carboxypeptidase TP_0574","2","2","1","1","670","","","","1304","1304","1304","LIHGCB_00573","OBIBPL_00570"
"aarA","","Rhomboid protease AarA","2","2","1","1","60","","","","620","620","620","LIHGCB_00970","OBIBPL_00967"
"recR","","Recombination protein RecR","2","2","1","1","39","","","","605","605","605","LIHGCB_00993","OBIBPL_00990"
"Desulfoferrodoxin","","Desulfoferrodoxin","2","2","1","1","900","","","","386","386","386","LIHGCB_00816","OBIBPL_00815"
"group_104","hypothetical protein","hypothetical protein","2","2","1","1","559","","","","1697","1697","1697","LIHGCB_00456","OBIBPL_00453"
"group_105","hypothetical protein","hypothetical protein","2","2","1","1","206","","","","386","386","386","LIHGCB_00083","OBIBPL_00083"
"group_106","hypothetical protein","hypothetical protein","2","2","1","1","983","","","","251","251","251","LIHGCB_00898","OBIBPL_00896"
"Ribonuclease Y","","Ribonuclease Y","2","2","1","1","25","","","","1514","1514","1514","LIHGCB_01007","OBIBPL_01004"
"peptidoglycan glycosyltransferase","","peptidoglycan glycosyltransferase","2","2","1","1","790","","","","2654","2654","2654","LIHGCB_00703","OBIBPL_00702"
"group_109","hypothetical protein","hypothetical protein","2","2","1","1","239","","","","1265","1265","1265","LIHGCB_00119","OBIBPL_00120"
"group_11","hypothetical protein","hypothetical protein","2","2","1","1","268","","","","269","302","285","LIHGCB_00149","OBIBPL_00152"
"group_110","hypothetical protein","hypothetical protein","2","2","1","1","118","","","","1052","1052","1052","LIHGCB_00909","OBIBPL_00907"
"group_111","hypothetical protein","hypothetical protein","2","2","1","1","543","","","","860","860","860","LIHGCB_00440","OBIBPL_00437"
"Ribose-5-phosphate isomerase A","","Ribose-5-phosphate isomerase A","2","2","1","1","707","","","","788","788","788","LIHGCB_00615","OBIBPL_00612"
"group_113","hypothetical protein","hypothetical protein","2","2","1","1","335","","","","2147","2147","2147","LIHGCB_00217","OBIBPL_00220"
"ATP-dependent Clp protease proteolytic subunit","","ATP-dependent Clp protease proteolytic subunit","2","2","1","1","604","","","","611","611","611","LIHGCB_00506","OBIBPL_00503"
"group_115","hypothetical protein","hypothetical protein","2","2","1","1","990","","","","425","425","425","LIHGCB_00905","OBIBPL_00903"
"Carhohydrate kinase (XylB)","","Carhohydrate kinase (XylB)","2","2","1","1","405","","","","1244","1244","1244","LIHGCB_00299","OBIBPL_00301"
"group_117","hypothetical protein","hypothetical protein","2","2","1","1","682","","","","1022","1022","1022","LIHGCB_00585","OBIBPL_00582"
"Uncharacterized protein TP_0846","","Uncharacterized protein TP_0846","2","2","1","1","922","","","","326","326","326","LIHGCB_00838","OBIBPL_00837"
"Threonine--tRNA ligase","","Threonine--tRNA ligase","2","2","1","1","913","","","","1748","1748","1748","LIHGCB_00829","OBIBPL_00828"
"group_12","Cytidylate kinase","Cytidylate kinase","2","2","1","1","395","","","","2498","2648","2573","LIHGCB_00289","OBIBPL_00291"
"group_120","hypothetical protein","hypothetical protein","2","2","1","1","24","","","","443","443","443","LIHGCB_01008","OBIBPL_01005"
"Tp33 protein","","Tp33 protein","2","2","1","1","84","","","","1028","1028","1028","LIHGCB_00946","OBIBPL_00943"
"group_122","hypothetical protein","hypothetical protein","2","2","1","1","619","","","","479","479","479","LIHGCB_00521","OBIBPL_00518"
"recN","","DNA repair protein RecN","2","2","1","1","544","","","","1721","1721","1721","LIHGCB_00441","OBIBPL_00438"
"group_124","Tetratricopeptide repeat protein","Tetratricopeptide repeat protein","2","2","1","1","385","","","","620","620","620","LIHGCB_00279","OBIBPL_00281"
"group_125","hypothetical protein","hypothetical protein","2","2","1","1","683","","","","266","266","266","LIHGCB_00586","OBIBPL_00583"
"group_126","hypothetical protein","hypothetical protein","2","2","1","1","985","","","","380","380","380","LIHGCB_00900","OBIBPL_00898"
"DNA-directed DNA polymerase III gamma and tau subunits","","DNA-directed DNA polymerase III gamma and tau subunits","2","2","1","1","618","","","","1271","1271","1271","LIHGCB_00520","OBIBPL_00517"
"Acetate kinase","","Acetate kinase","2","2","1","1","576","","","","1346","1346","1346","LIHGCB_00472","OBIBPL_00469"
"fleN","","Flagellar synthesis regulator FleN","2","2","1","1","797","","","","914","914","914","LIHGCB_00710","OBIBPL_00709"
"group_130","hypothetical protein","hypothetical protein","2","2","1","1","460","","","","494","494","494","LIHGCB_00380","OBIBPL_00377"
"fliM","","Flagellar motor switch protein FliM","2","2","1","1","806","","","","1034","1034","1034","LIHGCB_00719","OBIBPL_00718"
"Uncharacterized protein TP_1029","","Uncharacterized protein TP_1029","2","2","1","1","13","","","","668","668","668","LIHGCB_01019","OBIBPL_01016"
"Uncharacterized protein TP_0787","","Uncharacterized protein TP_0787","2","2","1","1","870","","","","392","392","392","LIHGCB_00785","OBIBPL_00785"
"group_134","hypothetical protein","hypothetical protein","2","2","1","1","48","","","","815","815","815","LIHGCB_00983","OBIBPL_00980"
"Alpha-amylase 1, putative","","Alpha-amylase 1, putative","2","2","1","1","269","","","","1859","1859","1859","LIHGCB_00150","OBIBPL_00153"
"group_136","hypothetical protein","hypothetical protein","2","2","1","1","593","","","","821","821","821","LIHGCB_00491","OBIBPL_00488"
"group_137","hypothetical protein","hypothetical protein","2","2","1","1","494","","","","3446","3446","3446","LIHGCB_00345","OBIBPL_00343"
"group_138","hypothetical protein","hypothetical protein","2","2","1","1","114","","","","1835","1835","1835","LIHGCB_00915","OBIBPL_00913"
"group_139","hypothetical protein","hypothetical protein","2","2","1","1","837","","","","284","284","284","LIHGCB_00750","OBIBPL_00749"
"Uncharacterized protein TP_0618","","Uncharacterized protein TP_0618","2","2","1","1","711","","","","344","344","344","LIHGCB_00319","OBIBPL_00614"
"group_141","Cyclic nucleotide-binding domain-containing protein","Cyclic nucleotide-binding domain-containing protein","2","2","1","1","377","","","","995","995","995","LIHGCB_00266","OBIBPL_00268"
"group_142","hypothetical protein","hypothetical protein","2","2","1","1","162","","","","932","932","932","LIHGCB_00039","OBIBPL_00039"
"Small ribosomal subunit protein uS8","","Small ribosomal subunit protein uS8","2","2","1","1","318","","","","398","398","398","LIHGCB_00200","OBIBPL_00203"
"group_144","hypothetical protein","hypothetical protein","2","2","1","1","805","","","","1046","1046","1046","LIHGCB_00718","OBIBPL_00717"
"group_145","hypothetical protein","hypothetical protein","2","2","1","1","872","","","","776","776","776","LIHGCB_00787","OBIBPL_00787"
"UvrABC system protein B","","UvrABC system protein B","2","2","1","1","236","","","","2033","2033","2033","LIHGCB_00116","OBIBPL_00117"
"DUF2225 domain-containing protein","","DUF2225 domain-containing protein","2","2","1","1","905","","","","884","884","884","LIHGCB_00821","OBIBPL_00820"
"group_148","hypothetical protein","hypothetical protein","2","2","1","1","467","","","","263","263","263","LIHGCB_00372","OBIBPL_00370"
"troD","","transition metal ABC transporter permease subunit TroD","2","2","1","1","287","","","","1103","1103","1103","LIHGCB_00168","OBIBPL_00171"
"tmpC","","Membrane lipoprotein TmpC","2","2","1","1","516","","","","467","1061","764","LIHGCB_00322","OBIBPL_00319"
"Glycerophosphodiester phosphodiesterase","","Glycerophosphodiester phosphodiesterase","2","2","1","1","373","","","","1070","1070","1070","LIHGCB_00262","OBIBPL_00264"
"group_151","hypothetical protein","hypothetical protein","2","2","1","1","267","","","","311","311","311","LIHGCB_00148","OBIBPL_00151"
"group_152","hypothetical protein","hypothetical protein","2","2","1","1","435","","","","533","533","533","LIHGCB_00405","OBIBPL_00402"
"Nuclease SbcCD subunit D","","Nuclease SbcCD subunit D","2","2","1","1","718","","","","1175","1175","1175","LIHGCB_00623","OBIBPL_00621"
"DNA-T family bacterial competence-related DNA transformation transporter","","DNA-T family bacterial competence-related DNA transformation transporter","2","2","1","1","502","","","","1613","1613","1613","LIHGCB_00337","OBIBPL_00335"
"group_155","hypothetical protein","hypothetical protein","2","2","1","1","886","","","","188","188","188","LIHGCB_00802","OBIBPL_00801"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","2","2","1","1","452","","","","1154","1154","1154","LIHGCB_00388","OBIBPL_00385"
"Sugar ABC superfamily ATP binding cassette transporter, membrane protein","","Sugar ABC superfamily ATP binding cassette transporter, membrane protein","2","2","1","1","195","","","","830","830","830","LIHGCB_00072","OBIBPL_00072"
"secA","","Protein translocase subunit SecA","2","2","1","1","459","","","","2750","2750","2750","LIHGCB_00381","OBIBPL_00378"
"Uncharacterized protein TP_0138","","Uncharacterized protein TP_0138","2","2","1","1","258","","","","680","680","680","LIHGCB_00138","OBIBPL_00140"
"Putative outer membrane protein assembly factor TP_0326","","Putative outer membrane protein assembly factor TP_0326","2","2","1","1","510","","","","2483","2486","2484","LIHGCB_00327","OBIBPL_00325"
"Uncharacterized protein TP_0783","","Uncharacterized protein TP_0783","2","2","1","1","865","","","","1109","1109","1109","LIHGCB_00780","OBIBPL_00780"
"group_161","hypothetical protein","hypothetical protein","2","2","1","1","764","","","","608","608","608","LIHGCB_00674","OBIBPL_00673"
"group_162","hypothetical protein","hypothetical protein","2","2","1","1","951","","","","959","959","959","LIHGCB_00867","OBIBPL_00865"
"rfuA","","ABC transporter riboflavin-binding protein RfuA","2","2","1","1","408","","","","1031","1031","1031","LIHGCB_00302","OBIBPL_00304"
"DNA gyrase subunit A","","DNA gyrase subunit A","2","2","1","1","134","","","","2441","2441","2441","LIHGCB_00005","OBIBPL_00005"
"group_165","hypothetical protein","hypothetical protein","2","2","1","1","781","","","","677","677","677","LIHGCB_00693","OBIBPL_00692"
