# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	4	1398	+	LIHGCB_00001		hypothetical protein	PFAM:PF00004.35, PFAM:PF00308.24, PFAM:PF00910.28, PFAM:PF01695.23, PFAM:PF08299.17, PFAM:PF11638.13
contig_1	oriC	1399	1641	?			origin of replication	
contig_1	cds	1642	2757	+	LIHGCB_00002		Beta sliding clamp	SO:0001217, UniRef:UniRef50_O83048
contig_1	cds	2846	3835	+	LIHGCB_00003		hypothetical protein	
contig_1	cds	3828	4265	+	LIHGCB_00004		hypothetical protein	
contig_1	cds	4392	6833	+	LIHGCB_00005		DNA gyrase subunit A	SO:0001217, UniRef:UniRef50_O83051
contig_1	cds	6833	7018	+	LIHGCB_00006		hypothetical protein	
contig_1	cds	7162	8262	+	LIHGCB_00007		Protein Tp75	SO:0001217, UniRef:UniRef50_Q01305
contig_1	cds	8342	10138	-	LIHGCB_00008		Tpr protein A	SO:0001217, UniRef:UniRef50_F7XRK5
contig_1	cds	10443	12425	+	LIHGCB_00009		Tpr protein B	SO:0001217, UniRef:UniRef50_F7XRK7
contig_1	cds	12591	13823	+	LIHGCB_00010		hypothetical protein	
contig_1	cds	14014	15828	+	LIHGCB_00011		hypothetical protein	PFAM:PF03484.21, PFAM:PF17759.6
contig_1	cds	15806	18364	+	LIHGCB_00012		endopeptidase La	SO:0001217, UniRef:UniRef50_F7XRL0
contig_1	cds	18489	19436	+	LIHGCB_00013		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_O83061
contig_1	cds	19453	22134	+	LIHGCB_00014	greA	Transcription elongation factor GreA	SO:0001217, UniRef:UniRef50_S5ZYJ4
contig_1	cds	22149	24257	+	LIHGCB_00015		76K protein	SO:0001217, UniRef:UniRef50_O83064
contig_1	ncRNA	24330	24424	-	LIHGCB_00016	Bacteria_small_SRP	Bacterial small signal recognition particle RNA	RFAM:RF00169, SO:0000655
contig_1	tRNA	24426	24513	-	LIHGCB_00017	trnS	tRNA-Ser(gga)	SO:0000269
contig_1	tRNA	24570	24658	-	LIHGCB_00018	trnS	tRNA-Ser(cga)	SO:0000269
contig_1	tRNA	24716	24789	-	LIHGCB_00019	trnR	tRNA-Arg(gcg)	SO:0001036
