#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	4	1398	+	LIHGCB_00001	52.9	7.0	PF00004.35|AAA, PF00308.24|Bac_DnaA, PF00910.28|RNA_helicase, PF01695.23|IstB_IS21, PF08299.17|Bac_DnaA_C, PF11638.13|DnaA_N	PFAM:PF00004.35, PFAM:PF00308.24, PFAM:PF00910.28, PFAM:PF01695.23, PFAM:PF08299.17, PFAM:PF11638.13
contig_1	2846	3835	+	LIHGCB_00003	38.6	9.4		
contig_1	3828	4265	+	LIHGCB_00004	16.3	7.0		
contig_1	6833	7018	+	LIHGCB_00006	6.5	7.6		
contig_1	12591	13823	+	LIHGCB_00010	45.1	6.1		
contig_1	14014	15828	+	LIHGCB_00011	67.2	5.9	PF03484.21|B5, PF17759.6|tRNA_synthFbeta	PFAM:PF03484.21, PFAM:PF17759.6
contig_1	29158	29868	+	LIHGCB_00024	26.7	5.9	PF02080.26|TrkA_C, PF02254.24|TrkA_N	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	33047	34069	-	LIHGCB_00026	37.6	9.3	PF01706.21|FliG_C	PFAM:PF01706.21
contig_1	40344	41168	-	LIHGCB_00031	30.4	9.8	PF04452.19|Methyltrans_RNA, PF20260.4|PUA_4	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	41877	42833	-	LIHGCB_00033	35.6	9.4		
contig_1	43747	44547	+	LIHGCB_00035	28.3	7.0		
contig_1	44656	45651	-	LIHGCB_00036	36.8	6.3	PF00389.36|2-Hacid_dh, PF02826.25|2-Hacid_dh_C	PFAM:PF00389.36, PFAM:PF02826.25
contig_1	49599	50531	+	LIHGCB_00039	33.3	5.2	PF01476.26|LysM	PFAM:PF01476.26
contig_1	52684	54576	+	LIHGCB_00041	70.1	9.0	PF13932.14|SAM_GIDA_C	PFAM:PF13932.14
contig_1	55893	56594	-	LIHGCB_00043	26.9	8.5		
contig_1	56612	57133	-	LIHGCB_00044	19.6	9.3		
contig_1	57139	57570	-	LIHGCB_00045	15.1	9.6	PF04519.19|Bactofilin	PFAM:PF04519.19
contig_1	58914	59522	-	LIHGCB_00047	23.2	7.8	PF00156.33|Pribosyltran	PFAM:PF00156.33
contig_1	60699	61766	+	LIHGCB_00049	39.0	9.5	PF17827.6|PrmC_N	PFAM:PF17827.6
contig_1	63062	64021	+	LIHGCB_00051	35.5	9.7	PF08032.17|SpoU_sub_bind	PFAM:PF08032.17
contig_1	64228	64464	+	LIHGCB_00052	8.0	6.5		
contig_1	69271	69741	-	LIHGCB_00056	17.5	9.0	PF01281.25|Ribosomal_L9_N, PF03948.19|Ribosomal_L9_C	PFAM:PF01281.25, PFAM:PF03948.19
contig_1	70802	71083	-	LIHGCB_00059	10.9	8.0	PF01250.22|Ribosomal_S6	PFAM:PF01250.22
contig_1	71366	71800	+	LIHGCB_00060	16.8	5.3		
contig_1	74110	75132	+	LIHGCB_00064	37.5	8.9	PF04055.27|Radical_SAM, PF21016.3|RlmN_N	PFAM:PF04055.27, PFAM:PF21016.3
contig_1	75188	75571	-	LIHGCB_00065	14.1	10.1		
contig_1	75568	75954	-	LIHGCB_00066	13.6	6.2		
contig_1	78845	79117	+	LIHGCB_00068	10.1	6.1	PF00462.30|Glutaredoxin	PFAM:PF00462.30
contig_1	82572	83450	+	LIHGCB_00071	32.5	9.9		
contig_1	87209	89362	+	LIHGCB_00075	78.9	6.5	PF02738.23|MoCoBD_1	PFAM:PF02738.23
contig_1	89359	89826	+	LIHGCB_00076	17.5	7.7	PF01799.25|Fer2_2	PFAM:PF01799.25
contig_1	89833	90681	+	LIHGCB_00077	31.6	9.7	PF00941.27|FAD_binding_5	PFAM:PF00941.27
contig_1	94539	94772	-	LIHGCB_00080	8.3	4.2		
contig_1	96358	96744	-	LIHGCB_00083	14.5	11.0		
contig_1	96881	97495	-	LIHGCB_00084	23.2	9.4		
contig_1	102194	102841	+	LIHGCB_00089	23.3	9.5	PF13490.11|zf-HC2	PFAM:PF13490.11
contig_1	108422	109024	+	LIHGCB_00096	22.1	9.0	PF00085.26|Thioredoxin, PF00578.27|AhpC-TSA, PF08534.16|Redoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13098.12, PFAM:PF13905.12
contig_1	109017	109811	+	LIHGCB_00097	28.3	11.1	PF02683.22|DsbD_TM	PFAM:PF02683.22
contig_1	111887	113251	+	LIHGCB_00099	50.5	7.6	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
contig_1	113299	113709	+	LIHGCB_00100	15.3	9.2		
contig_1	129836	130822	+	LIHGCB_00113	36.9	9.1		
contig_1	134846	136093	-	LIHGCB_00117	46.2	6.8	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	136047	136637	-	LIHGCB_00118	21.5	10.1		
contig_1	136716	137981	-	LIHGCB_00119	46.8	6.4		
